id,make_id,name,generation,first,last
599,3,CLK200,C208,1997,2003
600,3,CLK200 Kompressor,C208,1997,2003
601,3,CLK230 Kompressor,C208,1997,2003
602,3,CLK320,C208,1997,2003
603,3,CLK430,C208,1997,2003
604,3,CLK55 AMG,C208,1997,2003
605,3,S280,W220,2000,2006
606,3,S280L,W220,2000,2006
607,3,S320,W220,2000,2006
608,3,S320L,W220,2000,2006
609,3,S350,W220,2000,2006
610,3,S350L,W220,2000,2006
611,3,S430,W220,2000,2006
612,3,S430L,W220,2000,2006
613,3,S500,W220,2000,2006
614,3,S500L,W220,2000,2006
615,3,S600L,W220,2000,2006
616,3,S55 AMG,W220,2000,2006
617,3,S55L AMG,W220,2000,2006
618,3,S65 AMG,W220,2000,2006
619,3,S320 CDI,W220,2000,2006
620,3,S320L CDI,W220,2000,2006
621,3,S400 CDI,W220,2000,2006
622,3,S400L CDI,W220,2000,2006
623,3,ML230,W163,1998,2005
624,3,ML320,W163,1998,2005
625,3,ML350,W163,1998,2005
626,3,ML430,W163,1998,2005
627,3,ML500,W163,1998,2005
628,3,ML55 AMG,W163,1998,2005
629,3,ML270 CDI,W163,1998,2005
630,3,ML400 CDI,W163,1998,2005
631,3,CL500,C215,1998,2006
632,3,CL600,C215,1998,2006
633,3,CL55 AMG,C215,1998,2006
634,3,CL63 AMG,C215,1998,2006
635,3,C160,W203,2001,2007
636,3,C180 Kompressor,W203,2001,2007
637,3,C200 Kompressor,W203,2001,2007
638,3,C200 CGI,W203,2001,2007
639,3,C230 Kompressor,W203,2001,2007
640,3,C230,W203,2001,2007
641,3,C240,W203,2001,2007
642,3,C280,W203,2001,2007
643,3,C320,W203,2001,2007
644,3,C350,W203,2001,2007
645,3,C32 AMG,W203,2001,2007
646,3,C55 AMG,W203,2001,2007
647,3,SL350,R230.1,2002,2006
648,3,SL500,R230.1,2002,2006
649,3,SL55 AMG,R230.1,2003,2006
650,3,SL600,R230.1,2003,2006
651,3,SL65 AMG,R230.1,2004,2006
652,3,SL350,R230.2,2006,2008
653,3,SL500,R230.2,2006,2008
654,3,SL550,R230.2,2006,2008
655,3,SL55 AMG,R230.2,2006,2008
656,3,SL600,R230.2,2006,2008
657,3,SL65 AMG,R230.2,2006,2008
658,3,SL280,R230.3,2008,2009
659,3,SL300,R230.3,2009,2012
660,3,SL350,R230.3,2008,2012
661,3,SL500,R230.3,2008,2012
662,3,SL550,R230.3,2008,2012
663,3,SL63 AMG,R230.3,2008,2012
664,3,SL600,R230.3,2008,2009
665,3,SL65 AMG,R230.3,2008,2012
666,3,SL65 AMG Black,R230.3,2008,2012
667,3,CLK200 Kompressor,C209,2002,2010
668,3,CLK200 CGI,C209,2003,2005
669,3,CLK240,C209,2002,2005
670,3,CLK280,C209,2005,2010
671,3,CLK320,C209,2002,2005
672,3,CLK350,C209,2005,2010
673,3,CLK500,C209,2002,2006
