27,80097
28,80100
31,80092
1792,80105
44647,80103
2292,80086
48226,80095
2263,80089
39474,80087
42969,79814
37,80118
38,79983
38525,80091
1,80099
39,80093
40,80106
26,80085
27169,80090
43044,80120
39479,80119
1988,80121
59620,80123
3502,80107
43371,80122
43563,80108
27859,80075
30,80076
39000,80125
2143,80127
22,80126
44224,80128
927,80129
6075,80130
38565,80113
44926,79982
33,80083
46258,80084
58439,79830
2605,79831
64082,80081
36,80039
935,80114
26384,80131
2222,80115
2020,79985
24,79988
1936,80082
2823,79990
42849,79992
1984,80033
17,79989
27307,80034
19,80040
41,80041
64195,80037
15,80000
38764,80005
27057,80008
73920,79984
73913,80012
26991,80023
28984,80026
54493,79605
1790,80111
39488,80112
60061,79950
59687,79977
66562,80117
5670,80072
63874,80073
63977,80077
63987,80132
51194,80135
73915,73474
5584,73475
54874,73476
57489,73477
57725,73478
64072,73479
28287,79849
28038,73480
42808,73481
59269,73735
59291,73736
51419,73737
1573,59416
70524,59418
59483,73738
66633,73746
56149,73749
70195,73750
48065,73751
1791,73758
27400,73764
70199,73768
34,73770
1834,73772
5194,73779
59298,73781
26236,73784
66749,73787
44209,73789
27340,79873
63847,73482
26938,79846
70210,73273
73914,73483
26633,79850
77731,70024
28178,79852
40444,73484
41463,73485
76879,73621
76823,73486
77596,73487
77719,80096
